titulo,marca,modelo,version,anio,kms,precio,link
Ford Ranger 2026 3.0 V6 Cd 4x4 Limited + At 250cv,Ford,Ranger,3.0 V6 Cd 4x4 Limited + At 250cv,2026,17.000,67.900.000,https://auto.mercadolibre.com.ar/MLA-1937814657-ford-ranger-30-v6-cd-4x4-limited-at-250cv-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=1&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Nissan Note 2015 1.6 Exclusive 110cv Cvt,Nissan,Note,1.6 Exclusive 110cv Cvt,2015,120.000,17.200.000,https://auto.mercadolibre.com.ar/MLA-1897737153-nissan-note-16-exclusive-110cv-cvt-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=2&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Crossfox 2016 1.6 Highline,Volkswagen,Crossfox,1.6 Highline,2016,174.000,15.700.000,https://auto.mercadolibre.com.ar/MLA-1895308017-volkswagen-crossfox-16-highline-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=3&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Virtus 2021 1.6 Comfortline,Volkswagen,Virtus,1.6 Comfortline,2021,110.000,24.000.000,https://auto.mercadolibre.com.ar/MLA-1897232993-volkswagen-virtus-16-comfortline-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=4&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Peugeot 208 2023 1.6 Active Pack,Peugeot,208,1.6 Active Pack,2023,44.100,24.800.000,https://auto.mercadolibre.com.ar/MLA-1895281725-peugeot-208-16-active-pack-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=5&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Ecosport 2018 1.5 S 123cv 4x2,Ford,Ecosport,1.5 S 123cv 4x2,2018,78.000,17.500.000,https://auto.mercadolibre.com.ar/MLA-3713776324-ford-ecosport-15-s-123cv-4x2-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=6&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Renault Captur 2017 2.0 Intens Manual,Renault,Captur,2.0 Intens Manual,2017,134.500,19.950.000,https://auto.mercadolibre.com.ar/MLA-3657590364-renault-captur-20-intens-manual-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=7&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Territory 2026 1.5 Gtdi Trend Hibrida Dht,Ford,Territory,1.5 Gtdi Trend Hibrida Dht,2026,0,52.207.776,https://auto.mercadolibre.com.ar/MLA-3617146216-ford-territory-15-gtdi-trend-hibrida-dht-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=8&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Peugeot 208 2023 1.6l Active Tiptronic,Peugeot,208,1.6l Active Tiptronic,2023,76.000,22.200.000,https://auto.mercadolibre.com.ar/MLA-3617105706-peugeot-208-16l-active-tiptronic-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=9&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Hyundai Creta 2022 1.6 Style At,Hyundai,Creta,1.6 Style At,2022,60.000,31.500.000,https://auto.mercadolibre.com.ar/MLA-1895503095-hyundai-creta-16-style-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=10&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Hyundai Creta 2022 1.6 Safety+ At,Hyundai,Creta,1.6 Safety+ At,2022,78.000,35.600.000,https://auto.mercadolibre.com.ar/MLA-1895279935-hyundai-creta-16-safety-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=11&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Territory 2022 1.5t Titanium,Ford,Territory,1.5t Titanium,2022,64.000,38.100.000,https://auto.mercadolibre.com.ar/MLA-1895503555-ford-territory-15t-titanium-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=12&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Territory 2021 1.5t Sel,Ford,Territory,1.5t Sel,2021,70.000,43.500.000,https://auto.mercadolibre.com.ar/MLA-1895309475-ford-territory-15t-sel-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=13&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Chevrolet Onix 2021 1.0 Turbo Ltz Mt,Chevrolet,Onix,1.0 Turbo Ltz Mt,2021,68.000,19.700.000,https://auto.mercadolibre.com.ar/MLA-3684987388-chevrolet-onix-10-turbo-ltz-mt-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=14&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Fiat Cronos 2023 1.3 Gse Drive Pack Conectividad,Fiat,Cronos,1.3 Gse Drive Pack Conectividad,2023,44.500,22.600.000,https://auto.mercadolibre.com.ar/MLA-1917405895-fiat-cronos-13-gse-drive-pack-conectividad-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=15&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Territory 2021 1.5t Titanium,Ford,Territory,1.5t Titanium,2021,127.000,35.500.000,https://auto.mercadolibre.com.ar/MLA-1895520215-ford-territory-15t-titanium-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=16&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Hyundai Creta 2017 1.6 Gl Connect At,Hyundai,Creta,1.6 Gl Connect At,2017,100.000,22.600.000,https://auto.mercadolibre.com.ar/MLA-3713777580-hyundai-creta-16-gl-connect-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=17&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Renault Captur 2017 2.0 Zen,Renault,Captur,2.0 Zen,2017,103.000,20.700.000,https://auto.mercadolibre.com.ar/MLA-1895328767-renault-captur-20-zen-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=18&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Kuga 2017 2.0 Sel At 4x4,Ford,Kuga,2.0 Sel At 4x4,2017,95.200,34.400.000,https://auto.mercadolibre.com.ar/MLA-1937120633-ford-kuga-20-sel-at-4x4-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=19&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Peugeot 308 2013 2.0 Feline 143cv,Peugeot,308,2.0 Feline 143cv,2013,137.000,15.500.000,https://auto.mercadolibre.com.ar/MLA-1895853573-peugeot-308-20-feline-digno-de-ver-financio-hasta-el-80-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=20&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Peugeot 208 2021 1.5 Active,Peugeot,208,1.5 Active,2021,97.000,19.500.000,https://auto.mercadolibre.com.ar/MLA-3606909566-peugeot-208-15-active-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=21&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Volkswagen Amarok 2023 3.0 Cd Tdi V6 258cv Comfortline 4x4 At,Volkswagen,Amarok,3.0 Cd Tdi V6 258cv Comfortline 4x4 At,2023,102.000,43.000.000,https://auto.mercadolibre.com.ar/MLA-3606916540-volkswagen-amarok-30-cd-tdi-v6-258cv-comfortline-4x4-at-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=22&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Citroën C4 Lounge 2017 1.6 Thp 165 At6 Feel,Citroën,C4,Lounge 2017 1.6 Thp 165 At6 Feel,2017,66.000,18.150.000,https://auto.mercadolibre.com.ar/MLA-3605790678-citron-c4-lounge-16-thp-165-at6-feel-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=23&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Fiat Cronos 2022 1.8 16v Precision,Fiat,Cronos,1.8 16v Precision,2022,109.000,19.000.000,https://auto.mercadolibre.com.ar/MLA-1900191117-fiat-cronos-18-16v-precision-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=24&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
Ford Kuga 2017 2.0 Titanium At Awd,Ford,Kuga,2.0 Titanium At Awd,2017,99.000,30.350.000,https://auto.mercadolibre.com.ar/MLA-1895610745-ford-kuga-20-titanium-at-awd-_JM#polycard_client=search-desktop&price_drop=not_apply&be_origin=backend&overlay_label=not_apply&search_layout=grid&position=25&type=item&tracking_id=8cd89c19-2ce8-467c-86d0-718a4bd3c58e&sid=search
